hash;plik;dlugosc;tier;obszar;rules;fullContext;EN
03F4A47830F97377A35321051685071E;InnerRangeTranslations_1.xml;6;1;system/ogolne;unique=DoorStates;;Closed
3D60A1770B509E8DCC076B6FC343BCF8;InnerRangeTranslations_1.xml;71;3;dostep/przejscia;;;This trigger condition will be true while the door is currently closed.
77E5E2C60916BC4ADC5A1F40E6178EC4;InnerRangeTranslations_1.xml;10;1;dostep/przejscia;;61152BE0B49C12B1D303F34BF3763ECA;Locked Out
B4C31BBC728C8B9696C96EE2002DB62A;InnerRangeTranslations_1.xml;256;3;dostep/przejscia;;;This trigger condition will be true whenever the door is placed into the Lockout state, preventing users being granted access to the door. This trigger condition will last until the lockout is cleared and the door has reverted back to its normal behaviour.
DC2EB84D1F952AD0E6B58014AABD616A;InnerRangeTranslations_1.xml;6;1;dostep/przejscia;;11228401AB59FA63A344DB2A532A031D;Forced
CC158CE1D4E41094982434FE36C81316;InnerRangeTranslations_1.xml;220;3;uzbrajanie/strefy;;;This trigger condition will be true when the door is opened without the door being unlocked first, causing the door to enter the 'forced' state. This trigger condition will stay true until the door closes or is unlocked.
88AFCEE3BA1DA0F17E7AE6A668A2D648;InnerRangeTranslations_1.xml;25;1;dostep/przejscia;;;Almost Held Open Too Long
1B15D4A381B8186A562B2A07B8D24263;InnerRangeTranslations_1.xml;530;3;uzbrajanie/strefy;;;This trigger condition will be true when the door is in the 'Held Open Warning' phase. This occurs when the door locks while still open, and remains that way for the <i>Held (DOTL) Time</i>, entering a warning phase for <i>Held (DOTL) Warning Time</i>. This condition allows local responses to close the door before it is officially held open too long and alarm events are reported, etc. If the door closes, the door is unlocked again, or if that warning time expires and the door becomes 'Held Open', this trigger condition ends.
31C2B835B9EC339C75CBAE4C99635F75;InnerRangeTranslations_1.xml;18;1;dostep/przejscia;;;Held Open Too Long
EBE3F678D0479AED7058920F4F7B28FC;InnerRangeTranslations_1.xml;285;3;dostep/przejscia;;;This trigger condition will be true when the door is in the 'Held Open Too Long' phase, following a door remaining open after locking for the <i>Held (DOTL) Time</i> and <i>Held (DOTL) Warning Time</i>. The trigger condition will remain true until the door is closed or it is unlocked.
